                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7027,                 4.9351,                 1.6196,                      0,                      0,                      0,                      0,                 2.2897,                 5.0484,                 1.4496,              5.004e-05,              5.004e-05,              5.004e-05
                      2,                 2.0013,                 4.6494,                 1.2432,                      0,                      0,                      0,                      0,                 2.2475,                 4.9013,                 1.4036,             0.00010459,             0.00010459,             0.00010459
                      3,                  1.764,                 4.2638,                 1.1453,                0.00764,                0.14921,                0.05533,                0.03178,                 1.6967,                  4.594,                  1.124,             0.00015805,             0.00015805,             0.00015805
                      4,                 1.7236,                 3.7868,                 1.1167,                0.90983,                0.04874,                0.09531,                0.05157,                 1.5273,                 4.2652,                 1.0327,              0.0002104,              0.0002104,              0.0002104
                      5,                 1.7347,                 3.3513,                  1.113,                0.89331,                0.09032,                0.12294,                0.07107,                 1.5576,                 3.9539,                  1.057,             0.00026165,             0.00026165,             0.00026165
                      6,                 1.7183,                 3.1094,                 1.1198,                0.03468,                0.42424,                0.15548,                0.08448,                 1.5851,                 3.8912,                 1.0751,              0.0003118,              0.0003118,              0.0003118
                      7,                 1.6051,                 2.8308,                 1.0693,                0.45625,                0.21527,                 0.1967,                0.11709,                 1.4691,                 3.6029,                 1.0522,             0.00036085,             0.00036085,             0.00036085
                      8,                 1.6337,                 2.5983,                 1.0654,                0.53104,                0.27181,                0.28088,                0.17003,                 1.4754,                  2.824,                 1.0401,              0.0004088,              0.0004088,              0.0004088
                      9,                 1.5678,                 2.4836,                 1.0261,                0.48251,                0.30602,                0.34489,                0.21461,                 1.4997,                 2.5997,                 1.0131,             0.00045565,             0.00045565,             0.00045565
                     10,                 1.4972,                 2.3896,                 1.0274,                 0.4924,                0.37097,                0.34699,                0.22088,                 1.4035,                 2.3514,                 1.0025,              0.0005014,              0.0005014,              0.0005014
                     11,                 1.5265,                 2.2606,                 1.0517,                 0.4798,                0.41021,                0.36839,                0.22359,                 1.4575,                 2.3073,                 1.0233,             0.00050096,             0.00050096,             0.00050096
                     12,                 1.5705,                 2.2636,                 1.0361,                0.57845,                0.34509,                0.38889,                0.23512,                 1.4507,                 2.3312,                0.99787,             0.00049545,             0.00049545,             0.00049545
                     13,                 1.4606,                 2.0408,                 1.0164,                0.56139,                0.39553,                0.41725,                0.25809,                 1.3672,                 2.2115,                0.98546,             0.00048995,             0.00048995,             0.00048995
                     14,                 1.5024,                  2.024,                 1.0085,                0.53922,                 0.4471,                0.42444,                0.27069,                 1.3573,                 2.1759,                0.98318,             0.00048444,             0.00048444,             0.00048444
